tag,n_faces,rms_mean,rms_median,angle_dev_mean_deg,coverage,roof_type
182172235.laz,4,1.2824890431122966,1.1197290525278505,5.448382296648233,0.9719767581079269,flat
182486507.laz,3,1.0585995003003796,1.0541038181199942,6.56354231472194,0.975919412134754,flat
182251399.laz,4,0.6010171068001093,0.5729169298752818,11.212599466149776,0.9609870737584726,shed
182274798.laz,4,0.6709127696295965,0.6564704671650412,5.031314598529394,0.9298217675959021,flat
182311324.laz,2,0.1418158176180157,0.1418158176180157,26.036314504921513,0.9544065017573687,shed
182218669.laz,2,1.0069492902126607,1.0069492902126607,1.7662448814629443,0.9643800679253743,flat
182251224.laz,2,0.6636226329753054,0.6636226329753054,1.3280525591113306,0.9536021877842789,flat
182251615.laz,4,0.5973016064343587,0.5705936814511251,13.182972165344335,0.9558275700274372,shed
182213209.laz,4,0.5691389446913302,0.5867654337483199,7.5807855926775325,0.9504608450175129,flat
182127736.laz,1,0.3366857262725778,0.3366857262725778,2.51920551661711,0.6057580166309068,flat
182461857.laz,5,0.2949907321957205,0.25574023190809536,8.163600868276024,0.899198012471022,flat
182221864.laz,4,0.5164828621691538,0.492132232969337,16.363269303671892,0.9388976549439271,gable
182250287.laz,2,0.9142681383287987,0.9142681383287987,5.056782542323509,0.9600197501100315,flat
182379476.laz,2,0.6026906866192397,0.6026906866192397,0.5939252483355849,0.9527058886850944,flat
10493889.laz,2,0.9104998880021722,0.9104998880021722,11.533348583695382,0.9464361526266901,flat
10529360.laz,2,1.122769316822669,1.122769316822669,6.38916234650239,0.9820281485709945,flat
10529379.laz,2,1.1394247215783935,1.1394247215783935,6.00409653828553,0.9756488498306118,flat
182217581.laz,2,0.7411886821184226,0.7411886821184226,1.8686895958432768,0.947429304345488,flat
182337978.laz,3,0.8017244054818885,0.8381361744566304,3.6310007566529987,0.9622227288582212,flat
182286796.laz,4,0.6147633551139841,0.5672036815908754,16.264923819632273,0.9348292440608559,shed
